country;variety;Pontos;Preço_Mediana
US       ;Abouriou                  ;1;75
US       ;Aglianico                 ;9;28
US       ;Albariño                  ;68;23
US       ;Alicante Bouschet         ;1;36
US       ;Aligoté                   ;5;14
US       ;Alvarelhão                ;1;18
US       ;Alvarinho                 ;1;19
US       ;Arneis                    ;7;20
US       ;Auxerrois                 ;6;21
US       ;Baco Noir                 ;9;25
US       ;Barbera                   ;111;25
US       ;Barbera-Nebbiolo          ;1;30
US       ;Black Monukka             ;1;25
US       ;Black Muscat              ;4;23
US       ;Blanc du Bois             ;2;30,5
US       ;Blaufränkisch             ;10;25
US       ;Bordeaux-style Red Blend  ;965;49
US       ;Bordeaux-style White Blend;16;25
US       ;Cabernet                  ;1;19
US       ;Cabernet Blend            ;8;77,5
US       ;Cabernet Franc            ;500;30
US       ;Cabernet Franc-Cabernet Sa;1;22
US       ;Cabernet Franc-Lemberger  ;2;20
US       ;Cabernet Franc-Merlot     ;8;42,5
US       ;Cabernet Merlot           ;6;10,5
US       ;Cabernet Pfeffer          ;1;25
US       ;Cabernet Sauvignon        ;3648;45
US       ;Cabernet Sauvignon-Caberne;5;48
US       ;Cabernet Sauvignon-Malbec ;2;39
US       ;Cabernet Sauvignon-Merlot ;18;34
US       ;Cabernet Sauvignon-Sangiov;4;45
US       ;Cabernet Sauvignon-Syrah  ;32;42,5
US       ;Cabernet-Syrah            ;4;25
US       ;Carignan                  ;2;32,5
US       ;Carignane                 ;14;28
US       ;Carmenère                 ;30;34
US       ;Chambourcin               ;10;18
US       ;Champagne Blend           ;46;29
US       ;Chancellor                ;2;16
US       ;Charbono                  ;15;38
US       ;Chardonnay                ;3396;28
US       ;Chardonnay-Albariño       ;2;31
US       ;Chardonnay-Pinot Blanc    ;1;26
US       ;Chardonnay-Semillon       ;1;30
US       ;Chardonnay-Viognier       ;7;20
US       ;Chelois                   ;2;22,5
US       ;Chenin Blanc              ;67;19
US       ;Chenin Blanc-Viognier     ;7;14
US       ;Cinsault                  ;13;26
US       ;Claret                    ;15;28
US       ;Colombard                 ;8;20
US       ;Counoise                  ;6;32,5
US       ;Debit                     ;1;130
US       ;Diamond                   ;1;10
US       ;Dolcetto                  ;24;24,5
US       ;Dornfelder                ;3;25
US       ;Edelzwicker               ;2;22
US       ;Fiano                     ;6;18
